,Days,Count
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,2
16,16,2
17,17,2
18,18,2
19,19,2
20,20,2
21,21,2
22,22,2
23,23,2
24,24,2
25,25,2
26,26,2
27,27,2
28,28,2
29,29,3
30,30,3
31,31,3
32,32,3
33,33,3
34,34,3
35,35,3
36,36,3
37,37,3
38,38,3
39,39,3
40,40,3
41,41,3
42,42,3
43,43,4
44,44,4
45,45,4
46,46,4
47,47,4
48,48,4
49,49,4
50,50,4
51,51,4
52,52,4
53,53,4
54,54,4
55,55,4
56,56,4
57,57,4
58,58,5
59,59,5
60,60,5
61,61,5
62,62,5
63,63,5
64,64,5
65,65,5
66,66,5
67,67,5
68,68,5
69,69,5
70,70,5
71,71,5
72,72,6
73,73,6
74,74,6
75,75,6
76,76,6
77,77,6
78,78,6
79,79,6
80,80,6
81,81,6
82,82,6
83,83,6
84,84,6
85,85,6
86,86,7
87,87,7
88,88,7
89,89,7
90,90,7
91,91,7
92,92,7
93,93,7
94,94,7
95,95,7
96,96,7
97,97,7
98,98,7
99,99,7
100,100,8
101,101,8
102,102,8
103,103,8
104,104,8
105,105,8
106,106,8
107,107,8
108,108,8
109,109,8
110,110,8
111,111,8
112,112,8
113,113,8
114,114,8
115,115,8
116,116,8
117,117,8
118,118,8
119,119,8
120,120,8
121,121,8
122,122,8
123,123,8
124,124,8
125,125,8
126,126,8
127,127,8
128,128,8
129,129,8
130,130,8
131,131,8
132,132,8
133,133,8
134,134,8
135,135,8
136,136,8
137,137,8
138,138,8
139,139,8
140,140,8
141,141,8
142,142,8
143,143,8
144,144,8
145,145,8
146,146,8
147,147,8
148,148,8
149,149,8
150,150,9
151,151,9
152,152,9
153,153,9
154,154,9
155,155,9
156,156,9
157,157,9
158,158,9
159,159,9
160,160,9
161,161,9
162,162,9
163,163,9
164,164,9
165,165,9
166,166,9
167,167,9
168,168,9
169,169,9
170,170,9
171,171,9
172,172,9
173,173,9
174,174,9
175,175,9
176,176,9
177,177,9
178,178,9
179,179,9
180,180,9
181,181,9
182,182,9
183,183,9
184,184,9
185,185,9
186,186,9
187,187,9
188,188,9
189,189,9
190,190,9
191,191,9
192,192,9
193,193,9
194,194,9
195,195,9
196,196,9
197,197,9
198,198,9
199,199,9
200,200,10
201,201,9
202,202,9
203,203,9
204,204,9
205,205,9
206,206,9
207,207,9
208,208,9
209,209,9
210,210,9
211,211,9
212,212,9
213,213,9
214,214,9
215,215,9
216,216,9
217,217,9
218,218,9
219,219,9
220,220,9
221,221,9
222,222,9
223,223,9
224,224,9
225,225,9
226,226,9
227,227,9
228,228,9
229,229,9
230,230,9
231,231,9
232,232,9
233,233,9
234,234,9
235,235,9
236,236,9
237,237,9
238,238,9
239,239,9
240,240,9
241,241,9
242,242,9
243,243,9
244,244,9
245,245,9
246,246,9
247,247,9
248,248,9
249,249,9
250,250,9
251,251,8
252,252,8
253,253,8
254,254,8
255,255,8
256,256,8
257,257,8
258,258,8
259,259,8
260,260,8
261,261,8
262,262,8
263,263,8
264,264,8
265,265,8
266,266,8
267,267,8
268,268,8
269,269,8
270,270,8
271,271,8
272,272,8
273,273,8
274,274,8
275,275,8
276,276,8
277,277,8
278,278,8
279,279,8
280,280,8
281,281,8
282,282,8
283,283,8
284,284,8
285,285,8
286,286,8
287,287,8
288,288,8
289,289,8
290,290,8
291,291,8
292,292,8
293,293,8
294,294,8
295,295,8
296,296,8
297,297,8
298,298,8
299,299,8
300,300,8
301,301,8
302,302,8
303,303,8
304,304,8
305,305,8
306,306,8
307,307,8
308,308,8
309,309,8
310,310,8
311,311,8
312,312,8
313,313,8
314,314,8
315,315,8
316,316,8
317,317,8
318,318,8
319,319,8
320,320,8
321,321,8
322,322,8
323,323,8
324,324,8
325,325,8
326,326,8
327,327,8
328,328,8
329,329,8
330,330,8
331,331,8
332,332,8
333,333,8
334,334,8
335,335,8
336,336,8
337,337,8
338,338,8
339,339,8
340,340,8
341,341,8
342,342,8
343,343,8
344,344,8
345,345,8
346,346,8
347,347,8
348,348,8
349,349,8
350,350,8
351,351,8
352,352,8
353,353,8
354,354,8
355,355,8
356,356,8
357,357,8
358,358,8
359,359,8
360,360,8
361,361,8
362,362,8
363,363,8
364,364,8
365,365,8
366,366,8
367,367,8
368,368,8
369,369,8
370,370,8
371,371,8
372,372,8
373,373,8
374,374,8
375,375,8
376,376,8
377,377,8
378,378,8
379,379,8
380,380,8
381,381,8
382,382,8
383,383,8
384,384,8
385,385,8
386,386,8
387,387,8
388,388,8
389,389,8
390,390,8
391,391,8
392,392,8
393,393,8
394,394,8
395,395,8
396,396,8
397,397,8
398,398,8
399,399,8
400,400,8
401,401,8
402,402,8
403,403,8
404,404,8
405,405,8
406,406,8
407,407,8
408,408,8
409,409,8
410,410,8
411,411,8
412,412,8
413,413,8
414,414,8
415,415,8
416,416,8
417,417,8
418,418,8
419,419,8
420,420,8
421,421,8
422,422,8
423,423,8
424,424,8
425,425,8
426,426,8
427,427,8
428,428,8
429,429,8
430,430,8
431,431,8
432,432,8
433,433,8
434,434,8
435,435,8
436,436,8
437,437,8
438,438,8
439,439,8
440,440,8
441,441,8
442,442,8
443,443,8
444,444,8
445,445,8
446,446,8
447,447,8
448,448,8
449,449,8
450,450,8
451,451,8
452,452,8
453,453,8
454,454,8
455,455,8
456,456,8
457,457,8
458,458,8
459,459,8
460,460,8
461,461,8
462,462,8
463,463,8
464,464,8
465,465,8
466,466,8
467,467,8
468,468,8
469,469,8
470,470,8
471,471,8
472,472,8
473,473,8
474,474,8
475,475,8
476,476,8
477,477,8
478,478,8
479,479,8
480,480,8
481,481,8
482,482,8
483,483,8
484,484,8
485,485,8
486,486,8
487,487,8
488,488,8
489,489,8
490,490,8
491,491,8
492,492,8
493,493,8
494,494,8
495,495,8
496,496,8
497,497,8
498,498,8
499,499,8
500,500,8
501,501,8
502,502,8
503,503,8
504,504,8
505,505,8
506,506,8
507,507,8
508,508,8
509,509,8
510,510,8
511,511,8
512,512,8
513,513,8
514,514,8
515,515,8
516,516,8
517,517,8
518,518,8
519,519,8
520,520,8
521,521,8
522,522,8
523,523,8
524,524,8
525,525,8
526,526,8
527,527,8
528,528,8
529,529,8
530,530,8
531,531,8
532,532,8
533,533,8
534,534,8
535,535,8
536,536,8
537,537,8
538,538,8
539,539,8
540,540,8
541,541,8
542,542,8
543,543,8
544,544,8
545,545,8
546,546,8
547,547,8
548,548,8
549,549,8
550,550,8
551,551,8
552,552,8
553,553,8
554,554,8
555,555,8
556,556,8
557,557,8
558,558,8
559,559,8
560,560,8
561,561,8
562,562,8
563,563,8
564,564,8
565,565,8
566,566,8
567,567,8
568,568,8
569,569,8
570,570,8
571,571,8
572,572,8
573,573,8
574,574,8
575,575,8
576,576,8
577,577,8
578,578,8
579,579,8
580,580,8
581,581,8
582,582,8
583,583,8
584,584,8
585,585,8
586,586,8
587,587,8
588,588,8
589,589,8
590,590,8
591,591,8
592,592,8
593,593,8
594,594,8
595,595,8
596,596,8
597,597,8
598,598,8
599,599,8
600,600,8
601,601,8
602,602,8
603,603,8
604,604,8
605,605,8
606,606,8
607,607,8
608,608,8
609,609,8
610,610,8
611,611,8
612,612,8
613,613,8
614,614,8
615,615,8
616,616,8
617,617,8
618,618,8
619,619,8
620,620,8
621,621,8
622,622,8
623,623,8
624,624,8
625,625,8
626,626,8
627,627,8
628,628,8
629,629,8
630,630,8
631,631,8
632,632,8
633,633,8
634,634,8
635,635,8
636,636,8
637,637,8
638,638,8
639,639,8
640,640,8
641,641,8
642,642,8
643,643,8
644,644,8
645,645,8
646,646,8
647,647,8
648,648,8
649,649,8
650,650,8
651,651,8
652,652,8
653,653,8
654,654,8
655,655,8
656,656,8
657,657,8
658,658,8
659,659,8
660,660,8
661,661,8
662,662,8
663,663,8
664,664,8
665,665,8
666,666,8
667,667,8
668,668,8
669,669,8
670,670,8
671,671,8
672,672,8
673,673,8
674,674,8
675,675,8
676,676,8
677,677,8
678,678,8
679,679,8
680,680,8
681,681,8
682,682,8
683,683,8
684,684,8
685,685,8
686,686,8
687,687,8
688,688,8
689,689,8
690,690,8
691,691,8
692,692,8
693,693,8
694,694,8
695,695,8
696,696,8
697,697,8
698,698,8
699,699,8
700,700,8
701,701,8
702,702,8
703,703,8
704,704,8
705,705,8
706,706,8
707,707,8
708,708,8
709,709,8
710,710,8
711,711,8
712,712,8
713,713,8
714,714,8
715,715,8
716,716,8
717,717,8
718,718,8
719,719,8
720,720,8
721,721,8
722,722,8
723,723,8
724,724,8
725,725,8
726,726,8
727,727,8
728,728,8
729,729,8
730,730,8
731,731,8
732,732,8
733,733,8
734,734,8
735,735,8
736,736,8
737,737,8
738,738,8
739,739,8
740,740,8
741,741,8
742,742,8
743,743,8
744,744,8
745,745,8
746,746,8
747,747,8
748,748,8
749,749,8
750,750,8
751,751,8
752,752,8
753,753,8
754,754,8
755,755,8
756,756,8
757,757,8
758,758,8
759,759,8
760,760,8
761,761,8
762,762,8
763,763,8
764,764,8
765,765,8
766,766,8
767,767,8
768,768,8
769,769,8
770,770,8
771,771,8
772,772,8
773,773,8
774,774,8
775,775,8
776,776,8
777,777,8
778,778,8
779,779,8
780,780,8
781,781,8
782,782,8
783,783,8
784,784,8
785,785,8
786,786,8
787,787,8
788,788,8
789,789,8
790,790,8
791,791,8
792,792,8
793,793,8
794,794,8
795,795,8
796,796,8
797,797,8
798,798,8
799,799,8
800,800,8
801,801,8
802,802,8
803,803,8
804,804,8
805,805,8
806,806,8
807,807,8
808,808,8
809,809,8
810,810,8
811,811,8
812,812,8
813,813,8
814,814,8
815,815,8
816,816,8
817,817,8
818,818,8
819,819,8
820,820,8
821,821,8
822,822,8
823,823,8
824,824,8
825,825,8
826,826,8
827,827,8
828,828,8
829,829,8
830,830,8
831,831,8
832,832,8
833,833,8
834,834,8
835,835,8
836,836,8
837,837,8
838,838,8
839,839,8
840,840,8
841,841,8
842,842,8
843,843,8
844,844,8
845,845,8
846,846,8
847,847,8
848,848,8
849,849,8
850,850,8
851,851,8
852,852,8
853,853,8
854,854,8
855,855,8
856,856,8
857,857,8
858,858,8
859,859,8
860,860,8
861,861,8
862,862,8
863,863,8
864,864,8
865,865,8
866,866,8
867,867,8
868,868,8
869,869,8
870,870,8
871,871,8
872,872,8
873,873,8
874,874,8
875,875,8
876,876,8
877,877,8
878,878,8
879,879,8
880,880,8
881,881,8
882,882,8
883,883,8
884,884,8
885,885,8
886,886,8
887,887,8
888,888,8
889,889,8
890,890,8
891,891,8
892,892,8
893,893,8
894,894,8
895,895,8
896,896,8
897,897,8
898,898,8
899,899,8
900,900,8
901,901,8
902,902,8
903,903,8
904,904,8
905,905,8
906,906,8
907,907,8
908,908,8
909,909,8
910,910,8
911,911,8
912,912,8
913,913,8
914,914,8
915,915,8
916,916,8
917,917,8
918,918,8
919,919,8
920,920,8
921,921,8
922,922,8
923,923,8
924,924,8
925,925,8
926,926,8
927,927,8
928,928,8
929,929,8
930,930,8
931,931,8
932,932,8
933,933,8
934,934,8
935,935,8
936,936,8
937,937,8
938,938,8
939,939,8
940,940,8
941,941,8
942,942,8
943,943,8
944,944,8
945,945,8
946,946,8
947,947,8
948,948,8
949,949,8
950,950,8
951,951,8
952,952,8
953,953,8
954,954,8
955,955,8
956,956,8
957,957,8
958,958,8
959,959,8
960,960,8
961,961,8
962,962,8
963,963,8
964,964,8
965,965,8
966,966,8
967,967,8
968,968,8
969,969,8
970,970,8
971,971,8
972,972,8
973,973,8
974,974,8
975,975,8
976,976,8
977,977,8
978,978,8
979,979,8
980,980,8
981,981,8
982,982,8
983,983,8
984,984,8
985,985,8
986,986,8
987,987,8
988,988,8
989,989,8
990,990,8
991,991,8
992,992,8
993,993,8
994,994,8
995,995,8
996,996,8
997,997,8
998,998,8
999,999,8
1000,1000,8
1001,1001,8
1002,1002,8
1003,1003,8
1004,1004,8
1005,1005,8
1006,1006,8
1007,1007,8
1008,1008,8
1009,1009,8
1010,1010,8
1011,1011,8
1012,1012,8
1013,1013,8
1014,1014,8
1015,1015,8
1016,1016,8
1017,1017,8
1018,1018,8
1019,1019,8
1020,1020,8
1021,1021,8
1022,1022,8
1023,1023,8
1024,1024,8
1025,1025,8
1026,1026,8
1027,1027,8
1028,1028,8
1029,1029,8
1030,1030,8
1031,1031,8
1032,1032,8
1033,1033,8
1034,1034,8
1035,1035,8
1036,1036,8
1037,1037,8
1038,1038,8
1039,1039,8
1040,1040,8
1041,1041,8
1042,1042,8
1043,1043,8
1044,1044,8
1045,1045,8
1046,1046,8
1047,1047,8
1048,1048,8
1049,1049,8
1050,1050,8
1051,1051,8
1052,1052,8
1053,1053,8
1054,1054,8
1055,1055,8
1056,1056,8
1057,1057,8
1058,1058,8
1059,1059,8
1060,1060,8
1061,1061,8
1062,1062,8
1063,1063,8
1064,1064,8
1065,1065,8
1066,1066,8
1067,1067,8
1068,1068,8
1069,1069,8
1070,1070,8
1071,1071,8
1072,1072,8
1073,1073,8
1074,1074,8
1075,1075,8
1076,1076,8
1077,1077,8
1078,1078,8
1079,1079,8
1080,1080,8
1081,1081,8
1082,1082,8
1083,1083,8
1084,1084,8
1085,1085,8
1086,1086,8
1087,1087,8
1088,1088,8
1089,1089,8
1090,1090,8
1091,1091,8
1092,1092,8
1093,1093,8
1094,1094,8
1095,1095,8
