,Days,Count
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,2
13,13,2
14,14,2
15,15,2
16,16,2
17,17,2
18,18,2
19,19,2
20,20,2
21,21,2
22,22,2
23,23,3
24,24,3
25,25,3
26,26,3
27,27,3
28,28,3
29,29,3
30,30,3
31,31,3
32,32,3
33,33,3
34,34,4
35,35,4
36,36,4
37,37,4
38,38,4
39,39,4
40,40,4
41,41,4
42,42,4
43,43,4
44,44,4
45,45,5
46,46,5
47,47,5
48,48,5
49,49,5
50,50,5
51,51,5
52,52,5
53,53,5
54,54,5
55,55,5
56,56,6
57,57,6
58,58,6
59,59,6
60,60,6
61,61,6
62,62,6
63,63,6
64,64,6
65,65,6
66,66,6
67,67,7
68,68,7
69,69,7
70,70,7
71,71,7
72,72,7
73,73,7
74,74,7
75,75,7
76,76,7
77,77,7
78,78,8
79,79,8
80,80,8
81,81,8
82,82,8
83,83,8
84,84,8
85,85,8
86,86,8
87,87,8
88,88,8
89,89,9
90,90,9
91,91,9
92,92,9
93,93,9
94,94,9
95,95,9
96,96,9
97,97,9
98,98,9
99,99,9
100,100,10
101,101,10
102,102,10
103,103,10
104,104,10
105,105,10
106,106,10
107,107,10
108,108,10
109,109,10
110,110,10
111,111,10
112,112,10
113,113,10
114,114,10
115,115,10
116,116,10
117,117,10
118,118,10
119,119,10
120,120,10
121,121,10
122,122,10
123,123,10
124,124,10
125,125,10
126,126,10
127,127,10
128,128,10
129,129,10
130,130,10
131,131,10
132,132,10
133,133,10
134,134,11
135,135,11
136,136,11
137,137,11
138,138,11
139,139,11
140,140,11
141,141,11
142,142,11
143,143,11
144,144,11
145,145,11
146,146,11
147,147,11
148,148,11
149,149,11
150,150,11
151,151,11
152,152,11
153,153,11
154,154,11
155,155,11
156,156,11
157,157,11
158,158,11
159,159,11
160,160,11
161,161,11
162,162,11
163,163,11
164,164,11
165,165,11
166,166,11
167,167,12
168,168,12
169,169,12
170,170,12
171,171,12
172,172,12
173,173,12
174,174,12
175,175,12
176,176,12
177,177,12
178,178,12
179,179,12
180,180,12
181,181,12
182,182,12
183,183,12
184,184,12
185,185,12
186,186,12
187,187,12
188,188,12
189,189,12
190,190,12
191,191,12
192,192,12
193,193,12
194,194,12
195,195,12
196,196,12
197,197,12
198,198,12
199,199,12
200,200,13
201,201,12
202,202,12
203,203,12
204,204,12
205,205,12
206,206,12
207,207,12
208,208,12
209,209,12
210,210,12
211,211,12
212,212,12
213,213,12
214,214,12
215,215,12
216,216,12
217,217,12
218,218,12
219,219,12
220,220,12
221,221,12
222,222,12
223,223,12
224,224,12
225,225,12
226,226,12
227,227,12
228,228,12
229,229,12
230,230,12
231,231,12
232,232,12
233,233,12
234,234,11
235,235,11
236,236,11
237,237,11
238,238,11
239,239,11
240,240,11
241,241,11
242,242,11
243,243,11
244,244,11
245,245,11
246,246,11
247,247,11
248,248,11
249,249,11
250,250,11
251,251,11
252,252,11
253,253,11
254,254,11
255,255,11
256,256,11
257,257,11
258,258,11
259,259,11
260,260,11
261,261,11
262,262,11
263,263,11
264,264,11
265,265,11
266,266,11
267,267,10
268,268,10
269,269,10
270,270,10
271,271,10
272,272,10
273,273,10
274,274,10
275,275,10
276,276,10
277,277,10
278,278,10
279,279,10
280,280,10
281,281,10
282,282,10
283,283,10
284,284,10
285,285,10
286,286,10
287,287,10
288,288,10
289,289,10
290,290,10
291,291,10
292,292,10
293,293,10
294,294,10
295,295,10
296,296,10
297,297,10
298,298,10
299,299,10
300,300,10
301,301,10
302,302,10
303,303,10
304,304,10
305,305,10
306,306,10
307,307,10
308,308,10
309,309,10
310,310,10
311,311,10
312,312,10
313,313,10
314,314,10
315,315,10
316,316,10
317,317,10
318,318,10
319,319,10
320,320,10
321,321,10
322,322,10
323,323,10
324,324,10
325,325,10
326,326,10
327,327,10
328,328,10
329,329,10
330,330,10
331,331,10
332,332,10
333,333,10
334,334,10
335,335,10
336,336,10
337,337,10
338,338,10
339,339,10
340,340,10
341,341,10
342,342,10
343,343,10
344,344,10
345,345,10
346,346,10
347,347,10
348,348,10
349,349,10
350,350,10
351,351,10
352,352,10
353,353,10
354,354,10
355,355,10
356,356,10
357,357,10
358,358,10
359,359,10
360,360,10
361,361,10
362,362,10
363,363,10
364,364,10
365,365,10
366,366,10
367,367,10
368,368,10
369,369,10
370,370,10
371,371,10
372,372,10
373,373,10
374,374,10
375,375,10
376,376,10
377,377,10
378,378,10
379,379,10
380,380,10
381,381,10
382,382,10
383,383,10
384,384,10
385,385,10
386,386,10
387,387,10
388,388,10
389,389,10
390,390,10
391,391,10
392,392,10
393,393,10
394,394,10
395,395,10
396,396,10
397,397,10
398,398,10
399,399,10
400,400,10
401,401,10
402,402,10
403,403,10
404,404,10
405,405,10
406,406,10
407,407,10
408,408,10
409,409,10
410,410,10
411,411,10
412,412,10
413,413,10
414,414,10
415,415,10
416,416,10
417,417,10
418,418,10
419,419,10
420,420,10
421,421,10
422,422,10
423,423,10
424,424,10
425,425,10
426,426,10
427,427,10
428,428,10
429,429,10
430,430,10
431,431,10
432,432,10
433,433,10
434,434,10
435,435,10
436,436,10
437,437,10
438,438,10
439,439,10
440,440,10
441,441,10
442,442,10
443,443,10
444,444,10
445,445,10
446,446,10
447,447,10
448,448,10
449,449,10
450,450,10
451,451,10
452,452,10
453,453,10
454,454,10
455,455,10
456,456,10
457,457,10
458,458,10
459,459,10
460,460,10
461,461,10
462,462,10
463,463,10
464,464,10
465,465,10
466,466,10
467,467,10
468,468,10
469,469,10
470,470,10
471,471,10
472,472,10
473,473,10
474,474,10
475,475,10
476,476,10
477,477,10
478,478,10
479,479,10
480,480,10
481,481,10
482,482,10
483,483,10
484,484,10
485,485,10
486,486,10
487,487,10
488,488,10
489,489,10
490,490,10
491,491,10
492,492,10
493,493,10
494,494,10
495,495,10
496,496,10
497,497,10
498,498,10
499,499,10
500,500,10
501,501,10
502,502,10
503,503,10
504,504,10
505,505,10
506,506,10
507,507,10
508,508,10
509,509,10
510,510,10
511,511,10
512,512,10
513,513,10
514,514,10
515,515,10
516,516,10
517,517,10
518,518,10
519,519,10
520,520,10
521,521,10
522,522,10
523,523,10
524,524,10
525,525,10
526,526,10
527,527,10
528,528,10
529,529,10
530,530,10
531,531,10
532,532,10
533,533,10
534,534,10
535,535,10
536,536,10
537,537,10
538,538,10
539,539,10
540,540,10
541,541,10
542,542,10
543,543,10
544,544,10
545,545,10
546,546,10
547,547,10
548,548,10
549,549,10
550,550,10
551,551,10
552,552,10
553,553,10
554,554,10
555,555,10
556,556,10
557,557,10
558,558,10
559,559,10
560,560,10
561,561,10
562,562,10
563,563,10
564,564,10
565,565,10
566,566,10
567,567,10
568,568,10
569,569,10
570,570,10
571,571,10
572,572,10
573,573,10
574,574,10
575,575,10
576,576,10
577,577,10
578,578,10
579,579,10
580,580,10
581,581,10
582,582,10
583,583,10
584,584,10
585,585,10
586,586,10
587,587,10
588,588,10
589,589,10
590,590,10
591,591,10
592,592,10
593,593,10
594,594,10
595,595,10
596,596,10
597,597,10
598,598,10
599,599,10
600,600,10
601,601,10
602,602,10
603,603,10
604,604,10
605,605,10
606,606,10
607,607,10
608,608,10
609,609,10
610,610,10
611,611,10
612,612,10
613,613,10
614,614,10
615,615,10
616,616,10
617,617,10
618,618,10
619,619,10
620,620,10
621,621,10
622,622,10
623,623,10
624,624,10
625,625,10
626,626,10
627,627,10
628,628,10
629,629,10
630,630,10
631,631,10
632,632,10
633,633,10
634,634,10
635,635,10
636,636,10
637,637,10
638,638,10
639,639,10
640,640,10
641,641,10
642,642,10
643,643,10
644,644,10
645,645,10
646,646,10
647,647,10
648,648,10
649,649,10
650,650,10
651,651,10
652,652,10
653,653,10
654,654,10
655,655,10
656,656,10
657,657,10
658,658,10
659,659,10
660,660,10
661,661,10
662,662,10
663,663,10
664,664,10
665,665,10
666,666,10
667,667,10
668,668,10
669,669,10
670,670,10
671,671,10
672,672,10
673,673,10
674,674,10
675,675,10
676,676,10
677,677,10
678,678,10
679,679,10
680,680,10
681,681,10
682,682,10
683,683,10
684,684,10
685,685,10
686,686,10
687,687,10
688,688,10
689,689,10
690,690,10
691,691,10
692,692,10
693,693,10
694,694,10
695,695,10
696,696,10
697,697,10
698,698,10
699,699,10
700,700,10
701,701,10
702,702,10
703,703,10
704,704,10
705,705,10
706,706,10
707,707,10
708,708,10
709,709,10
710,710,10
711,711,10
712,712,10
713,713,10
714,714,10
715,715,10
716,716,10
717,717,10
718,718,10
719,719,10
720,720,10
721,721,10
722,722,10
723,723,10
724,724,10
725,725,10
726,726,10
727,727,10
728,728,10
729,729,10
730,730,10
731,731,10
732,732,10
733,733,10
734,734,10
735,735,10
736,736,10
737,737,10
738,738,10
739,739,10
740,740,10
741,741,10
742,742,10
743,743,10
744,744,10
745,745,10
746,746,10
747,747,10
748,748,10
749,749,10
750,750,10
751,751,10
752,752,10
753,753,10
754,754,10
755,755,10
756,756,10
757,757,10
758,758,10
759,759,10
760,760,10
761,761,10
762,762,10
763,763,10
764,764,10
765,765,10
766,766,10
767,767,10
768,768,10
769,769,10
770,770,10
771,771,10
772,772,10
773,773,10
774,774,10
775,775,10
776,776,10
777,777,10
778,778,10
779,779,10
780,780,10
781,781,10
782,782,10
783,783,10
784,784,10
785,785,10
786,786,10
787,787,10
788,788,10
789,789,10
790,790,10
791,791,10
792,792,10
793,793,10
794,794,10
795,795,10
796,796,10
797,797,10
798,798,10
799,799,10
800,800,10
801,801,10
802,802,10
803,803,10
804,804,10
805,805,10
806,806,10
807,807,10
808,808,10
809,809,10
810,810,10
811,811,10
812,812,10
813,813,10
814,814,10
815,815,10
816,816,10
817,817,10
818,818,10
819,819,10
820,820,10
821,821,10
822,822,10
823,823,10
824,824,10
825,825,10
826,826,10
827,827,10
828,828,10
829,829,10
830,830,10
831,831,10
832,832,10
833,833,10
834,834,10
835,835,10
836,836,10
837,837,10
838,838,10
839,839,10
840,840,10
841,841,10
842,842,10
843,843,10
844,844,10
845,845,10
846,846,10
847,847,10
848,848,10
849,849,10
850,850,10
851,851,10
852,852,10
853,853,10
854,854,10
855,855,10
856,856,10
857,857,10
858,858,10
859,859,10
860,860,10
861,861,10
862,862,10
863,863,10
864,864,10
865,865,10
866,866,10
867,867,10
868,868,10
869,869,10
870,870,10
871,871,10
872,872,10
873,873,10
874,874,10
875,875,10
876,876,10
877,877,10
878,878,10
879,879,10
880,880,10
881,881,10
882,882,10
883,883,10
884,884,10
885,885,10
886,886,10
887,887,10
888,888,10
889,889,10
890,890,10
891,891,10
892,892,10
893,893,10
894,894,10
895,895,10
896,896,10
897,897,10
898,898,10
899,899,10
900,900,10
901,901,10
902,902,10
903,903,10
904,904,10
905,905,10
906,906,10
907,907,10
908,908,10
909,909,10
910,910,10
911,911,10
912,912,10
913,913,10
914,914,10
915,915,10
916,916,10
917,917,10
918,918,10
919,919,10
920,920,10
921,921,10
922,922,10
923,923,10
924,924,10
925,925,10
926,926,10
927,927,10
928,928,10
929,929,10
930,930,10
931,931,10
932,932,10
933,933,10
934,934,10
935,935,10
936,936,10
937,937,10
938,938,10
939,939,10
940,940,10
941,941,10
942,942,10
943,943,10
944,944,10
945,945,10
946,946,10
947,947,10
948,948,10
949,949,10
950,950,10
951,951,10
952,952,10
953,953,10
954,954,10
955,955,10
956,956,10
957,957,10
958,958,10
959,959,10
960,960,10
961,961,10
962,962,10
963,963,10
964,964,10
965,965,10
966,966,10
967,967,10
968,968,10
969,969,10
970,970,10
971,971,10
972,972,10
973,973,10
974,974,10
975,975,10
976,976,10
977,977,10
978,978,10
979,979,10
980,980,10
981,981,10
982,982,10
983,983,10
984,984,10
985,985,10
986,986,10
987,987,10
988,988,10
989,989,10
990,990,10
991,991,10
992,992,10
993,993,10
994,994,10
995,995,10
996,996,10
997,997,10
998,998,10
999,999,10
1000,1000,10
1001,1001,10
1002,1002,10
1003,1003,10
1004,1004,10
1005,1005,10
1006,1006,10
1007,1007,10
1008,1008,10
1009,1009,10
1010,1010,10
1011,1011,10
1012,1012,10
1013,1013,10
1014,1014,10
1015,1015,10
1016,1016,10
1017,1017,10
1018,1018,10
1019,1019,10
1020,1020,10
1021,1021,10
1022,1022,10
1023,1023,10
1024,1024,10
1025,1025,10
1026,1026,10
1027,1027,10
1028,1028,10
1029,1029,10
1030,1030,10
1031,1031,10
1032,1032,10
1033,1033,10
1034,1034,10
1035,1035,10
1036,1036,10
1037,1037,10
1038,1038,10
1039,1039,10
1040,1040,10
1041,1041,10
1042,1042,10
1043,1043,10
1044,1044,10
1045,1045,10
1046,1046,10
1047,1047,10
1048,1048,10
1049,1049,10
1050,1050,10
1051,1051,10
1052,1052,10
1053,1053,10
1054,1054,10
1055,1055,10
1056,1056,10
1057,1057,10
1058,1058,10
1059,1059,10
1060,1060,10
1061,1061,10
1062,1062,10
1063,1063,10
1064,1064,10
1065,1065,10
1066,1066,10
1067,1067,10
1068,1068,10
1069,1069,10
1070,1070,10
1071,1071,10
1072,1072,10
1073,1073,10
1074,1074,10
1075,1075,10
1076,1076,10
1077,1077,10
1078,1078,10
1079,1079,10
1080,1080,10
1081,1081,10
1082,1082,10
1083,1083,10
1084,1084,10
1085,1085,10
1086,1086,10
1087,1087,10
1088,1088,10
1089,1089,10
1090,1090,10
1091,1091,10
1092,1092,10
1093,1093,10
1094,1094,10
1095,1095,10
