pool_tvl,nls_rewards
10000000,0.1
15000000,0.1
20000000,0.1
25000000,0.095
30000000,0.095
35000000,0.095
40000000,0.09
45000000,0.09
50000000,0.09
55000000,0.085
60000000,0.085
65000000,0.085
70000000,0.085
75000000,0.08
80000000,0.08
85000000,0.08
90000000,0.075
95000000,0.075
100000000,0.065
150000000,0.055
200000000,0.05
250000000,0.04
300000000,0.03
350000000,0.029
400000000,0.028
450000000,0.027
500000000,0.026
550000000,0.025
600000000,0.025
650000000,0.025
700000000,0.025
750000000,0.025
800000000,0.025
850000000,0.025
900000000,0.025
950000000,0.025
1000000000,0.025
1050000000,0.025
1100000000,0.025
1150000000,0.025
1200000000,0.025
1250000000,0.025
1300000000,0.025
1350000000,0.025
1400000000,0.025
1450000000,0.025
1500000000,0.025
1550000000,0.025
1600000000,0.025
1650000000,0.025
